Gruppe,ValgstedId,KredsNr,StorKredsNr,LandsdelsNr,Stemmeberettigede,GyldigeStemmer
101001,101001,1,1,1,13791,9612
101002,101002,1,1,1,5711,3951
101003,101003,1,1,1,14165,10058
101005,101005,1,1,1,10867,7220
101006,101006,1,1,1,9623,6556
101007,101007,2,1,1,12955,8027
101008,101008,2,1,1,12595,7916
101009,101009,2,1,1,9402,6083
101010,101010,2,1,1,10020,7222
101011,101011,3,1,1,14046,8259
101012,101012,3,1,1,6288,4850
101013,101013,3,1,1,9260,6370
101014,101014,3,1,1,11505,7866
101016,101016,4,1,1,8575,5236
101017,101017,4,1,1,14396,8856
101018,101018,4,1,1,8160,5312
101019,101019,4,1,1,8795,5845
101020,101020,5,1,1,10296,6828
101021,101021,5,1,1,13722,8567
101022,101022,5,1,1,5892,3868
101023,101023,5,1,1,5449,3842
101024,101024,5,1,1,6982,4848
101025,101025,5,1,1,10134,6851
101026,101026,5,1,1,3259,2078
101027,101027,6,1,1,15461,8927
101028,101028,6,1,1,7335,4520
101029,101029,6,1,1,4054,2516
101030,101030,6,1,1,9471,5875
101031,101031,7,1,1,3823,2762
101032,101032,7,1,1,2242,918
101033,101033,7,1,1,7154,4803
101034,101034,7,1,1,7862,5258
101035,101035,7,1,1,6102,3438
101036,101036,7,1,1,8005,5457
101039,101039,7,1,1,4404,3027
101040,101040,7,1,1,5142,3687
101041,101041,7,1,1,10227,6974
101042,101042,8,1,1,8138,5496
101043,101043,8,1,1,8607,5946
101044,101044,8,1,1,4557,2787
101046,101046,8,1,1,4815,2901
101047,101047,8,1,1,3752,2387
101048,101048,8,1,1,6247,4165
101049,101049,9,1,1,7070,5134
101050,101050,9,1,1,8231,5468
101051,101051,9,1,1,8558,5182
101052,101052,9,1,1,6310,4471
101053,101053,9,1,1,5428,3781
101054,101054,9,1,1,2982,1880
101055,101055,9,1,1,4310,2963
147001,147001,10,1,1,8228,6148
147002,147002,10,1,1,8478,6456
147003,147003,10,1,1,10969,7903
147004,147004,10,1,1,10157,7316
147005,147005,11,1,1,10179,6974
147006,147006,11,1,1,8917,6263
147007,147007,11,1,1,9882,6862
147008,147008,11,1,1,8002,5856
151001,151001,20,2,1,4230,2923
151002,151002,20,2,1,6155,4039
151003,151003,20,2,1,2661,2088
151004,151004,20,2,1,2774,1879
151005,151005,20,2,1,3684,2977
151006,151006,20,2,1,5487,3727
151008,151008,20,2,1,4093,3061
151009,151009,20,2,1,3230,2593
151010,151010,20,2,1,2085,1665
153001,153001,18,2,1,3250,2417
153002,153002,18,2,1,3543,2235
153003,153003,18,2,1,3041,2070
153004,153004,18,2,1,5496,3651
153005,153005,18,2,1,8398,4934
155001,155001,12,1,1,3819,2966
155004,155004,12,1,1,6327,4866
157001,157001,13,2,1,5330,4050
157002,157002,13,2,1,4465,3412
157003,157003,13,2,1,5303,3703
157004,157004,13,2,1,5280,3613
157005,157005,13,2,1,4972,3860
157006,157006,13,2,1,5596,4439
157007,157007,13,2,1,6029,4522
157008,157008,13,2,1,4363,3313
157009,157009,13,2,1,5025,3879
157010,157010,13,2,1,4591,3374
159001,159001,15,2,1,4837,3564
159002,159002,15,2,1,6212,4415
159003,159003,15,2,1,5948,3951
159004,159004,15,2,1,6378,4425
159005,159005,15,2,1,6307,4190
159006,159006,15,2,1,6079,4599
159007,159007,15,2,1,3800,2821
159008,159008,15,2,1,4426,3078
159009,159009,15,2,1,2337,1451
161001,161001,20,2,1,2292,1762
161002,161002,20,2,1,2525,1695
161003,161003,20,2,1,4213,2579
161004,161004,20,2,1,2971,1862
161005,161005,20,2,1,1454,1174
161006,161006,20,2,1,2650,1881
163001,163001,16,2,1,7031,4577
163002,163002,16,2,1,6331,4873
163003,163003,16,2,1,6491,4242
165001,165001,19,2,1,4463,3228
165002,165002,19,2,1,3233,2396
165003,165003,19,2,1,3074,1839
165004,165004,19,2,1,3235,2083
165005,165005,19,2,1,4391,3015
167001,167001,17,2,1,4055,2896
167002,167002,17,2,1,3283,2203
167003,167003,17,2,1,4340,2926
167004,167004,17,2,1,4655,3337
167005,167005,17,2,1,5080,3709
167006,167006,17,2,1,5184,3665
167007,167007,17,2,1,5573,3751
167008,167008,17,2,1,4653,2801
169001,169001,19,2,1,2359,1340
