N,turnout,votes,district
179,138,80,1
602,409,235,2
700,422,292,3
560,324,134,4
161,131,93,5
215,134,80,6
2574,1547,1293,7
1355,708,296,8
261,114,61,9
1497,893,427,10
194,148,66,11
1256,807,412,12
399,352,150,13
189,106,73,14
1380,817,361,15
380,252,115,16
1298,741,400,17
178,152,123,18
2056,1788,1231,19
1264,1165,1115,20
2042,1651,1142,21
1093,1065,967,22
1063,953,865,23
1630,1459,1070,24
2107,1891,1669,25
1793,1502,1084,26
775,495,282,27
567,487,406,28
478,443,377,29
198,166,113,30
1523,1238,892,31
512,412,234,32
1210,1106,1040,33
785,629,421,34
2594,1515,822,35
1859,1016,853,36
158,135,94,37
931,735,646,38
2126,2027,1901,39
1432,1233,992,40
1487,1334,1183,41
1565,1465,1208,42
596,540,496,43
1605,1118,774,44
2264,1956,1319,45
1763,1406,988,46
420,335,280,47
2809,1744,1175,48
1266,970,651,49
1761,1417,921,50
1107,1009,834,51
292,220,158,52
2005,1000,430,53
1872,1478,975,54
2300,1411,805,55
1816,1044,637,56
335,218,133,57
1827,940,359,58
648,421,308,59
780,546,198,60
2082,1024,420,61
2712,1290,520,62
309,223,97,63
2422,1761,988,64
2624,1364,474,65
1860,977,431,66
1989,1102,589,67
1947,1664,1338,68
1276,674,302,69
542,425,336,70
1948,870,266,71
524,380,272,72
1506,868,449,73
2909,1267,446,74
1486,1137,677,75
1347,640,258,76
2322,982,368,77
462,454,225,78
333,239,141,79
759,598,406,80
523,423,312,81
1101,933,717,82
2177,1810,1413,83
2616,1301,606,84
1145,654,329,85
2912,1466,761,86
993,762,468,87
523,510,412,88
2189,926,379,89
668,454,332,90
2403,1238,537,91
136,106,70,92
286,251,145,93
211,202,127,94
1877,1415,989,95
2371,2151,1233,96
3028,1957,1220,97
2239,1172,389,98
1573,950,401,99
1003,823,736,100
2630,1334,460,101
2740,1359,443,102
1491,935,448,103
1976,1460,1072,104
1043,939,736,105
487,381,251,106
2285,1423,818,107
2536,1357,592,108
187,122,77,109
2181,1453,798,110
818,649,478,111
588,373,249,112
2824,2102,1631,113
1959,909,466,114
426,409,184,115
605,403,243,116
2602,1310,546,117
1524,763,326,118
160,122,77,119
1438,918,474,120
2769,2080,1167,121
548,444,355,122
1906,1349,950,123
2247,1175,417,124
2609,1792,1242,125
1570,625,212,126
2842,1328,411,127
2938,1983,1271,128
917,504,278,129
2318,1351,870,130
1306,885,513,131
2289,754,292,132
1440,761,294,133
1635,1499,1038,134
1817,1098,495,135
1943,723,232,136
1699,880,439,137
375,253,162,138
1251,1192,1047,139
778,620,411,140
642,570,352,141
2018,1026,402,142
1350,1206,1085,143
1818,1312,670,144
1398,758,442,145
931,706,504,146
2341,922,394,147
1857,1217,627,148
2064,1512,1339,149
914,824,751,150
1821,842,397,151
2195,1871,1255,152
1659,1180,686,153
759,529,338,154
1042,972,671,155
1661,1087,681,156
1767,922,438,157
294,192,142,158
2736,1578,726,159
322,296,192,160
1548,973,525,161
2479,2072,1471,162
206,142,93,163
1226,1037,606,164
2660,2097,1547,165
279,242,206,166
161,129,75,167
2298,1324,665,168
142,70,37,169
309,259,234,170
1095,818,537,171
1203,707,517,172
649,460,253,173
2630,1385,716,174
2542,1100,539,175
1614,566,168,176
1167,1150,1095,177
226,197,99,178
2087,1220,685,179
1142,709,437,180
1393,1243,1026,181
1548,728,256,182
2376,1199,428,183
2477,1417,594,184
1083,490,298,185
1684,724,256,186
985,559,314,187
1326,1004,683,188
1735,889,326,189
2956,1702,1037,190
2319,1053,396,191
655,426,230,192
2023,1011,468,193
423,228,131,194
930,802,591,195
1877,853,416,196
112,80,48,197
63,45,34,198
273,197,148,199
145,104,66,200
282,169,112,201
53,39,27,202
1441,766,424,203
179,138,106,204
486,351,279,205
231,157,89,206
407,286,181,207
557,287,150,208
993,761,680,209
304,209,143,210
147,87,63,211
201,168,135,212
1914,1420,729,213
404,256,136,214
622,372,212,215
1829,1219,621,216
379,301,267,217
875,699,590,218
509,441,341,219
375,255,156,220
1819,953,447,221
101,63,36,222
729,590,518,223
1136,852,454,224
452,350,198,225
412,327,164,226
280,223,183,227
581,348,259,228
609,326,202,229
213,211,145,230
202,174,133,231
135,131,108,232
447,380,292,233
321,185,81,234
2053,1328,638,235
871,508,389,236
244,198,119,237
561,318,113,238
2173,1160,451,239
919,565,190,240
2148,1028,388,241
1666,1051,456,242
518,455,369,243
720,480,221,244
259,190,134,245
162,111,72,246
67,21,9,247
2004,1090,528,248
444,344,255,249
41,28,15,250
467,392,335,251
252,187,127,252
141,116,95,253
1187,602,265,254
2031,1252,488,255
159,89,48,256
660,387,196,257
381,212,70,258
1449,705,253,259
2188,1062,443,260
584,336,117,261
235,180,115,262
157,122,75,263
95,86,52,264
115,101,83,265
2127,969,334,266
198,193,153,267
416,354,210,268
255,210,134,269
553,302,154,270
450,297,174,271
176,132,96,272
62,59,43,273
679,612,513,274
1082,555,214,275
387,329,281,276
318,229,96,277
222,202,177,278
273,221,168,279
2335,996,393,280
60,45,28,281
152,109,68,282
348,250,125,283
151,118,72,284
608,439,240,285
973,622,458,286
338,259,160,287
676,531,311,288
1871,1253,706,289
321,319,245,290
1529,958,417,291
232,165,114,292
217,159,75,293
518,406,171,294
290,231,139,295
2069,967,422,296
172,119,44,297
50,45,23,298
170,140,87,299
650,475,244,300
168,142,111,301
825,593,418,302
105,96,72,303
1920,1065,376,304
1941,1044,454,305
133,108,55,306
217,140,81,307
412,351,184,308
151,84,43,309
2115,1101,661,310
209,180,94,311
436,209,118,312
461,249,113,313
1959,1089,403,314
269,220,137,315
178,141,107,316
486,278,124,317
271,205,155,318
1788,987,386,319
460,289,156,320
1586,879,397,321
154,104,57,322
930,596,204,323
1656,841,367,324
1073,884,711,325
231,165,105,326
487,439,263,327
97,71,61,328
227,172,99,329
306,248,184,330
2255,1360,622,331
832,671,401,332
581,384,124,333
374,338,259,334
180,132,101,335
137,119,78,336
627,523,396,337
79,79,64,338
58,54,42,339
1218,683,307,340
888,526,298,341
636,461,232,342
987,621,215,343
88,77,51,344
1510,985,359,345
158,122,84,346
166,87,33,347
880,547,193,348
1083,670,232,349
169,141,96,350
155,151,88,351
187,128,103,352
803,494,210,353
176,165,125,354
669,429,172,355
197,158,71,356
526,359,199,357
348,223,88,358
405,256,118,359
2204,1161,762,360
85,79,47,361
253,220,106,362
2049,1420,668,363
389,326,289,364
115,109,78,365
1018,509,201,366
2345,1176,521,367
175,125,72,368
1969,984,410,369
399,221,135,370
1174,652,235,371
842,476,264,372
460,328,173,373
196,129,97,374
66,50,24,375
458,354,172,376
557,342,150,377
156,105,84,378
1951,1027,621,379
548,286,138,380
96,91,40,381
409,301,178,382
2698,1551,837,383
271,195,98,384
136,79,52,385
303,242,165,386
113,65,39,387
1121,516,193,388
263,193,123,389
612,354,116,390
540,405,236,391
410,294,136,392
257,202,120,393
1347,656,320,394
210,156,116,395
407,243,124,396
113,92,67,397
1164,598,251,398
2115,1168,470,399
505,306,141,400
175,161,113,401
169,141,85,402
545,363,128,403
1723,981,393,404
228,143,85,405
833,771,684,406
277,187,128,407
447,272,134,408
535,340,127,409
138,93,41,410
197,114,79,411
324,208,135,412
386,338,285,413
523,390,297,414
124,81,33,415
256,206,119,416
144,100,48,417
498,406,262,418
456,286,138,419
670,478,375,420
371,272,170,421
237,172,116,422
310,197,89,423
143,112,55,424
349,234,137,425
272,203,149,426
608,363,182,427
404,281,122,428
669,328,178,429
