aargang,foedselsaar,koen,postnr,støtte_rv_2019,støtte_rv_2021
2021,1997,Mand,2100,1,0
2021,1995,Kvinde,2300,0,1
2021,2000,Mand,3460,0,0
2021,1997,Kvinde,1871,0,1
2021,2000,Kvinde,2300,0,1
2021,2000,Kvinde,1972,1,1
2021,1999,Kvinde,2200,1,0
2021,1999,Kvinde,2100,0,1
2021,2000,Kvinde,1411,1,1
2021,2000,Mand,2770,0,0
2021,1999,Kvinde,2000,1,0
2021,2000,Kvinde,2100,0,0
2021,1999,Kvinde,2720,1,0
2021,1998,Kvinde,1432,0,0
2021,2000,Kvinde,2200,1,0
2021,1996,Kvinde,2000,0,0
2021,1998,Kvinde,2300,0,1
2021,1999,Kvinde,2605,0,0
2021,1998,Kvinde,2000,0,0
2021,1998,Kvinde,2300,0,0
2021,1998,Kvinde,2000,0,0
2021,1999,Kvinde,2300,1,0
2021,1999,Kvinde,2200,0,0
2021,1999,Kvinde,5230,0,0
2021,1999,Kvinde,1719,1,0
2021,1996,Kvinde,2200,0,0
2021,2000,Mand,2300,1,0
2021,1999,Mand,2720,1,0
2021,2000,Kvinde,2300,0,0
2021,2000,Kvinde,2720,0,0
2021,2000,Kvinde,2200,0,1
2021,2000,Mand,4623,1,1
2021,1998,Mand,2450,1,1
2021,1999,Mand,1322,1,0
2021,1993,Kvinde,2770,1,0
2021,1999,Kvinde,2200,0,0
2021,1995,Mand,2400,0,0
2021,1991,Kvinde,2450,1,0
2021,1999,Kvinde,2200,0,0
2021,2000,Mand,2300,1,0
2021,1999,Mand,2300,1,0
2021,1999,Kvinde,2300,0,0
2021,1999,Mand,2200,1,0
2021,1997,Kvinde,1762,0,0
2021,2000,Mand,2300,0,0
2021,1996,Mand,2820,0,0
2021,1996,Mand,2300,0,0
2021,1998,Kvinde,2200,1,1
2021,2000,Kvinde,1350,0,0
2021,1998,Mand,2200,0,0
2021,1999,Kvinde,2200,1,1
2021,1999,Mand,2300,0,1
2021,2000,Mand,2200,0,0
2021,1999,Kvinde,2690,0,0
2021,1998,Mand,2700,0,0
2021,2000,Kvinde,2100,1,0
2021,1999,Mand,1904,0,0
2021,1999,Kvinde,2300,1,1
2021,1998,Kvinde,2450,0,0
2021,1998,Mand,2300,0,1
2021,2000,Kvinde,2450,0,0
2021,2000,Kvinde,2200,1,0
2021,2000,Kvinde,2200,1,1
2021,2000,Kvinde,6000,1,0
2021,1992,Kvinde,2400,0,0
2021,1997,Kvinde,2500,1,0
2021,2000,Kvinde,2650,0,0
2021,1999,Kvinde,4000,0,1
2021,1999,Kvinde,2300,0,0
2021,1999,Kvinde,2200,1,1
2021,1998,Mand,1734,0,0
